name,kBenderDco,kBenderVcf,kArpRate,kLfoRate,kLfoDelay,kDcoLfo,kDcoPwm,kDcoSub,kDcoNoise,kHpfFreq,kVcfFreq,kVcfRes,kVcfEnv,kVcfLfo,kVcfKbd,kVcaLevel,kEnvA,kEnvD,kEnvS,kEnvR,kTranspose,kHold,kArpeggio,kDcoPulse,kDcoSaw,kDcoSubSw,kChorusOff,kChorusI,kChorusII,kOctTranspose,kArpMode,kArpRange,kLfoMode,kPwmMode,kVcfEnvInv,kVcaMode,kBender,kTuning,kPower,kPortaMode,kPortaRate,kTransposeOffset,kBenderLfo,kAdsrMode
"B62 Clarinet",0.000000,0.000000,0.944882,0.543307,0.173228,0.070866,0.000000,0.000000,0.000000,[3],0.275591,0.000000,0.338583,0.055118,0.771654,0.818898,0.039370,1.000000,0.834646,0.055118,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B63 Thunder",0.000000,0.000000,0.944882,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,[0],0.015748,0.000000,0.606299,0.000000,0.818898,0.842520,0.000000,0.173228,0.850394,0.944882,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B64 Reedy Organ",0.000000,0.000000,0.944882,0.275591,0.141732,0.000000,0.695238,0.000000,0.000000,[0],0.259843,0.000000,0.417323,0.000000,0.511811,0.543307,0.023622,0.346457,0.858268,0.000000,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B65 Flute / Horn",0.000000,0.000000,0.944882,0.267717,0.000000,0.000000,0.561905,0.000000,0.000000,[0],0.196850,0.000000,0.330709,0.000000,0.511811,0.173228,0.165354,0.574803,0.559055,0.377953,0.000000,[0],[0],[1],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B66 Toy Rhodes",0.000000,0.000000,0.944882,0.236220,0.354331,1.000000,0.000000,0.000000,0.000000,[3],0.456693,1.000000,0.000000,0.000000,1.000000,0.842520,0.000000,0.700787,0.000000,0.307087,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B67 Surf's Up",0.000000,0.000000,0.944882,0.007874,0.000000,0.000000,1.000000,0.000000,1.000000,[2],0.661417,0.086614,0.000000,0.385827,0.425197,0.590551,0.259843,0.763780,1.000000,0.952756,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[2],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B68 OW Bass",0.000000,0.000000,0.944882,0.393701,0.000000,0.000000,0.476190,0.370079,0.000000,[0],0.496063,0.661417,0.511811,0.000000,1.000000,0.551181,1.000000,0.000000,0.842520,0.000000,0.000000,[0],[0],[1],[1],[1],[1],[0],[0],[0],[0],[0],[0],[1],[1],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B71 Piccolo",0.000000,0.000000,0.944882,0.551181,0.220472,0.000000,0.133333,0.000000,0.000000,[2],0.031496,0.000000,0.496063,0.125984,0.771654,0.685039,0.125984,0.811024,0.834646,0.165354,0.000000,[0],[0],[1],[1],[0],[1],[0],[0],[2],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B72 Melodic Taps",0.000000,0.000000,0.944882,0.779528,0.000000,0.000000,0.000000,0.000000,1.000000,[3],0.566929,0.881890,0.000000,0.000000,1.000000,1.000000,0.000000,0.188976,0.000000,0.188976,0.000000,[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B73 Meow Bass",0.000000,0.000000,0.944882,0.401575,1.000000,0.000000,0.695238,0.000000,0.000000,[0],0.354331,0.787402,0.275591,0.000000,0.511811,0.661417,0.031496,0.708661,0.000000,0.212598,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
